Date,SNo,Name,Symbol,High,Low,Open,Close,Volume,Marketcap,tweet,Prediction
2021-07-05,2990,Bitcoin,BTC,35284.34443007,33213.66103397,35284.34443007,33746.00245614,26721554282.07,632696207199.7,13536,37269.10348557701
2021-07-04,2989,Bitcoin,BTC,35937.56714724,34396.47745754,34665.56486608,35287.77976616,24924307911.11,661574836314.86,11989,38897.3187659816
2021-07-03,2988,Bitcoin,BTC,34909.25989883,33402.69653615,33854.42136155,34668.54840182,24383958643.26,649939701346.23,12083,38798.383900850364
2021-07-02,2987,Bitcoin,BTC,33939.58869924,32770.68078046,33549.6001774,33897.04858963,38728974942.25,635450784106.09,9241,41789.584823222605
2021-06-23,2978,Bitcoin,BTC,34753.40850285,31772.63235532,32515.71430319,33723.0289781,46317108924.69,632011278436.38,16313,34346.31496994446
2021-06-22,2977,Bitcoin,BTC,33292.45476399,28893.62165844,31622.37708528,32505.6598245,58964353058.3,609180639389.88,26059,24088.663953252028
2021-06-21,2976,Bitcoin,BTC,35721.63963385,31295.93552923,35641.14606474,31676.69373254,52809038593.79,593627575886.55,22541,27791.353905717035
2021-06-20,2975,Bitcoin,BTC,36059.48351685,33432.07604413,35563.13941499,35698.29644336,36664034054.41,668968868769.75,4797,46466.88844708687
2021-05-29,2953,Bitcoin,BTC,37234.49847965,33693.92945797,35684.1568817,34616.06800347,45231013334.6,648061013207.76,2258,49139.182304195645
2021-05-28,2952,Bitcoin,BTC,38856.96788502,34779.0394272,38507.08307537,35697.60639024,55200191951.77,668283930066.56,2830,48537.15312488638
2021-05-27,2951,Bitcoin,BTC,40379.61767161,37247.90367644,39316.88967818,38436.96853505,43210968720.58,719538129127.79,2129,49274.9546191098
2021-05-26,2950,Bitcoin,BTC,40782.07818311,37905.8348536,38392.62365582,39294.19738214,51346735160.35,735556411166.13,2401,48988.67500936833
2021-05-25,2949,Bitcoin,BTC,39776.34979796,36581.42891576,38795.7802497,38402.22385137,56211915803.14,718829377408.47,1471,49967.498675028495
2021-04-24,2918,Bitcoin,BTC,51167.56335742,48805.2846976,51143.22627463,50050.86821565,49014494780.62,935471648213.36,1668,49760.156457678975
2021-04-23,2917,Bitcoin,BTC,52120.79164545,47714.66215249,51739.80692966,51093.65070999,86668667320.38,954919230091.93,2859,48506.63066649483
2021-04-22,2916,Bitcoin,BTC,55410.22866494,50583.81405608,53857.10689483,51762.27205146,74798630777.5,967372472375.28,2473,48912.89511267206
2021-04-21,2915,Bitcoin,BTC,56757.97158884,53695.4703347,56471.12771923,53906.08804584,54926612465.71,1007389534360.43,1889,49527.554274764036
2021-04-20,2914,Bitcoin,BTC,57062.1502465,53448.04838457,55681.79251074,56473.0322808,67849323955.2,1055323526514.09,2082,49324.42205167542
2021-04-19,2913,Bitcoin,BTC,57520.05477733,54368.59365509,56191.5841095,55724.26709807,65344865158.77,1041287672153.73,1929,49485.45433215499
2021-04-18,2912,Bitcoin,BTC,61057.45650886,52829.53592647,60701.88609331,56216.18500243,97468872758.37,1050445401609.72,2383,49007.6199835424
2021-04-17,2911,Bitcoin,BTC,62572.17605057,60361.35217909,61529.92099734,60683.82123331,66138759198.01,1133882479236.77,162,51345.21929690931
2021-04-12,2906,Bitcoin,BTC,61253.0369158,59589.87375623,60175.94475711,59893.45188869,51828688519.48,1118871072068.9,663,50817.91751573109
2021-04-11,2905,Bitcoin,BTC,60790.55531507,59289.79563078,59846.23078558,60204.96491379,46280252580.42,1124635848775.45,683,50796.86754442657
2021-04-10,2904,Bitcoin,BTC,61276.66536564,58038.70627787,58253.77680886,59793.23541009,58238470525.26,1116889802872.23,1447,49992.758640593915
2021-04-09,2903,Bitcoin,BTC,58937.04651601,57807.86384217,58326.56361984,58245.00300108,46655208545.71,1087911057869.8,1146,50309.56070872694
2021-04-08,2902,Bitcoin,BTC,58338.73822544,55879.08419515,56099.91311078,58323.95357975,53053855641.35,1089334328138.76,1335,50110.63847989923
2021-04-07,2901,Bitcoin,BTC,58731.14290107,55604.02359245,58186.50853398,56048.93781271,75645303583.61,1046793054752.58,1388,50054.85605594225
2021-04-06,2900,Bitcoin,BTC,59479.57855171,57646.80889002,59171.93202224,58192.35868406,66058027987.88,1086769183294.56,1252,50197.99586081298
2021-04-05,2899,Bitcoin,BTC,59891.2969082,57694.82602134,58760.87326121,59057.87896588,60706272114.62,1102880790089.18,788,50686.35519507784
2021-03-12,2875,Bitcoin,BTC,57996.61948977,55376.6500885,57821.21874746,57332.08896391,55689944702.29,1069366321843.62,1481,49956.97368937623
2021-03-11,2874,Bitcoin,BTC,58091.0627026,54484.59308946,55963.18008858,57805.12301924,56772343594.84,1078135604117.97,93,51417.8416979099
2021-02-28,2863,Bitcoin,BTC,46716.43099302,43241.61822653,46194.01635186,45137.77046805,53443887450.79,841428977514.57,793,50681.09270225171
2021-02-22,2857,Bitcoin,BTC,57533.38932549,48967.56518819,57532.73886407,54207.31906543,92052420331.57,1010205212981.29,1680,49747.526474896265
2021-02-19,2854,Bitcoin,BTC,56113.65054685,50937.27572157,51675.98128513,55888.13368221,63495496917.85,1041380696669.48,2245,49152.864785543585
2021-02-18,2853,Bitcoin,BTC,52474.10724863,51015.76455379,52140.97271656,51679.79669449,52054723578.67,962915078024.48,1010,50452.70051359767
2021-02-15,2850,Bitcoin,BTC,48875.57161074,46347.47709171,48696.53665993,47945.05683234,77069903166.39,893210080038.98,2304,49090.76737019525
2021-02-14,2849,Bitcoin,BTC,49487.64087275,47114.50958649,47114.50958649,48717.2902111,71248675228.22,907551330153.22,1880,49537.02676185107
2021-02-13,2848,Bitcoin,BTC,48047.74459107,46392.28233345,47491.20255503,47105.51747252,70250456155.05,877478894463.66,909,50559.00286868549
2021-02-10,2845,Bitcoin,BTC,47145.56819859,43881.1525986,46469.76120204,44918.18449192,87301089896.44,836616907526.53,1654,49774.89143759214
2021-02-09,2844,Bitcoin,BTC,48003.72396182,45166.96004492,46184.99146609,46481.10423596,91809846885.69,865682956618.92,2053,49354.94451006697
2021-02-08,2843,Bitcoin,BTC,46203.93143652,38076.32280719,38886.82728995,46196.46371944,101467222686.67,860342706259.7,2810,48558.203096190904
2021-02-07,2842,Bitcoin,BTC,39621.8354917,37446.15388489,39250.1905137,38903.44147971,65500641143.12,724478833211.11,1451,49988.548646333016
2021-02-06,2841,Bitcoin,BTC,40846.54690329,38138.38833975,38138.38833975,39266.01073494,71326033652.98,731192490092.84,1544,49890.666279767
2021-02-05,2840,Bitcoin,BTC,38225.90594551,36658.76353663,36931.54564785,38144.30686267,58598066402.24,710266752533.8,782,50692.67018646919
